"","CASEID","V000","V001","V002","V003","V004","V005","V006","V007","V008","V008A","V009","V010","V011","V012","V013","V024","V101","V106","V107","V149","V190","V191","V190A","V191A","V501","V502","V503","V504","V505","V506","V701","V702","V704","V704A","V705","V714","V714A","V715","V716","V717","V719","V721","V729","V730","V731","V732","V739","V740","V741","V743A","V743B","V743C","V743D","V743E","V743F","V744A","V744B","V744C","V744D","V744E","V745A","V745B","V745C","V745D","V746","D005","D101A","D101B","D101C","D101D","D101E","D101F","D101G","D101H","D101I","D101J","D102","D103A","D103B","D103C","D103D","D103E","D103F","D103G","D104","D105A","D105B","D105C","D105D","D105E","D105F","D105G","D105H","D105I","D105J","D105K","D105L","D105M","D105N","D106","D107","D108","D109","D110A","D110B","D110C","D110D","D110E","D110F","D110G","D110H","D111","D112","D112A","D113","D114"
"1","    00010007  2","PH7",1,7,2,1,361799,8,2017,1412,42962,6,1987,1050,30,4,15,15,2,8,3,1,-104086,1,-85611,1,1,1,1,1,NA,2,9,9520,1,9,0,0,9,0,0,NA,NA,3,27,0,NA,NA,NA,NA,1,1,NA,2,NA,1,0,0,0,0,0,1,0,NA,NA,NA,261344,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"2","    00010010  2","PH7",1,10,2,1,361799,8,2017,1412,42962,4,1977,928,40,6,15,15,2,10,3,1,-101771,1,-83123,1,1,1,1,1,NA,1,1,9520,1,9,0,0,1,0,0,NA,NA,1,39,0,NA,NA,NA,NA,1,4,NA,2,NA,2,0,0,0,0,0,0,0,NA,NA,NA,261344,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"3","    00010013  2","PH7",1,13,2,1,361799,8,2017,1412,42962,11,1997,1175,19,1,15,15,1,6,1,1,-96396,1,-77347,1,1,1,1,1,NA,1,5,8322,1,8,0,0,5,0,0,NA,NA,1,20,0,NA,NA,NA,NA,1,2,NA,2,NA,2,0,0,0,0,0,0,0,NA,NA,NA,261344,0,0,0,1,1,NA,NA,NA,NA,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"5","    00010015  7","PH7",1,15,7,1,361799,8,2017,1412,42963,4,1987,1048,30,4,15,15,2,11,4,2,-29113,3,-5036,1,1,2,2,1,NA,3,15,5412,1,3,0,0,15,0,0,NA,NA,5,30,0,NA,NA,NA,NA,2,2,NA,2,NA,2,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","    00010018  9","PH7",1,18,9,1,361799,8,2017,1412,42962,12,1997,1176,19,1,15,15,2,9,3,3,31322,4,59915,1,1,1,1,1,NA,3,13,9520,1,9,0,0,13,0,0,NA,NA,5,24,0,NA,NA,NA,NA,1,1,NA,2,NA,2,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","    00010022  4","PH7",1,22,4,1,361799,8,2017,1412,42962,9,1993,1125,23,2,15,15,3,12,5,4,75859,4,107780,1,1,1,1,1,NA,1,2,6115,1,4,0,0,2,0,0,NA,NA,1,28,0,NA,NA,NA,NA,2,1,NA,2,NA,2,1,1,0,1,0,0,0,NA,NA,NA,261344,0,0,0,0,1,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"8","    00010025  2","PH7",1,25,2,1,361799,8,2017,1412,42964,1,1987,1045,30,4,15,15,1,7,2,1,-97533,1,-78569,1,1,1,1,1,NA,1,1,5249,1,7,0,0,1,9520,9,3,NA,1,47,1,2,2,NA,2,2,1,NA,2,NA,2,0,8,0,0,0,0,0,NA,NA,3,261344,8,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"9","    00010029  2","PH7",1,29,2,1,361799,8,2017,1412,42962,4,1998,1180,19,1,15,15,2,9,3,2,-45066,2,-22181,1,1,1,1,1,NA,3,12,5414,1,3,0,0,12,5221,7,2,NA,5,30,1,2,2,NA,1,2,2,NA,2,NA,2,0,1,1,0,0,0,0,NA,NA,2,261344,0,0,0,0,1,NA,NA,NA,NA,NA,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"10","    00020007  2","PH7",2,7,2,2,416591,8,2017,1412,42966,5,1985,1025,32,4,15,15,2,11,4,3,-714,3,25485,1,1,1,1,1,NA,1,3,6111,1,4,0,0,3,0,0,NA,NA,1,39,0,NA,NA,NA,NA,2,2,NA,2,NA,2,0,0,0,0,0,1,1,NA,NA,NA,300923,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"11","    00020016  2","PH7",2,16,2,2,416591,8,2017,1412,42966,7,1980,967,37,5,15,15,1,2,1,3,25608,4,53774,1,1,1,1,1,NA,1,2,6115,1,4,1,NA,2,1420,1,3,NA,1,38,2,1,2,NA,1,2,2,NA,2,NA,2,0,0,0,0,0,3,1,NA,NA,3,300923,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"12","    00020018  2","PH7",2,18,2,2,416591,8,2017,1412,42967,2,1975,902,42,6,15,15,2,11,4,2,-60082,2,-38319,1,1,1,1,1,NA,1,1,6111,1,4,0,0,1,0,0,NA,NA,1,42,0,NA,NA,NA,NA,2,2,NA,2,NA,2,0,0,0,0,0,0,0,NA,NA,NA,619041,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"13","    00020019  9","PH7",2,19,9,2,416591,8,2017,1412,42967,5,1994,1133,23,2,15,15,2,10,3,2,-68593,2,-47466,1,1,1,1,1,NA,2,11,9329,1,9,0,0,11,0,0,NA,NA,3,25,0,NA,NA,NA,NA,2,2,NA,2,NA,2,0,0,0,0,0,0,0,NA,NA,NA,619041,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"14","    00020026  2","PH7",2,26,2,2,416591,8,2017,1412,42967,5,1993,1121,24,2,15,15,1,7,2,1,-82872,2,-62812,1,1,1,2,1,NA,1,7,9312,2,9,0,0,7,0,0,NA,NA,1,24,0,NA,NA,NA,NA,1,1,NA,1,NA,1,0,0,0,0,0,0,0,NA,NA,NA,300923,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"15","    00030006  2","PH7",3,6,2,3,207861,9,2017,1413,43001,9,1989,1077,28,3,15,15,3,12,5,1,-96184,1,-77118,1,1,2,1,1,NA,3,12,2221,1,1,0,0,12,0,0,NA,NA,5,44,0,NA,NA,NA,NA,2,2,NA,2,NA,2,0,0,0,1,0,0,0,NA,NA,NA,150147,8,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"16","    00030007  6","PH7",3,7,6,3,207861,9,2017,1413,43001,11,1989,1079,27,3,15,15,3,15,5,1,-83976,2,-63999,1,1,1,1,1,NA,3,15,5165,1,7,0,0,15,0,0,NA,NA,5,32,0,NA,NA,NA,NA,2,2,NA,2,NA,2,0,0,0,0,0,0,0,NA,NA,NA,450442,0,0,0,0,1,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"17","    00030007  9","PH7",3,7,9,3,207861,9,2017,1413,43001,12,1999,1200,17,1,15,15,2,11,3,1,-83976,2,-63999,1,1,1,1,1,NA,2,11,9329,1,9,0,0,11,0,0,NA,NA,3,23,0,NA,NA,NA,NA,2,2,NA,2,NA,2,1,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","    00030010  2","PH7",3,10,2,3,207861,9,2017,1413,43001,2,1975,902,42,6,15,15,2,10,3,2,-24173,3,273,1,1,2,1,1,NA,3,12,7412,1,8,0,0,12,0,0,NA,NA,5,44,0,NA,NA,NA,NA,2,2,NA,2,NA,2,0,0,0,8,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","    00030011  2","PH7",3,11,2,3,207861,9,2017,1413,43001,7,1997,1171,20,2,15,15,2,10,3,2,-57295,2,-35324,1,1,1,1,1,NA,2,9,6117,1,4,0,0,9,0,0,NA,NA,3,22,0,NA,NA,NA,NA,2,2,NA,2,NA,2,0,0,0,0,0,3,0,NA,NA,NA,150147,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"20","    00030012  5","PH7",3,12,5,3,207861,9,2017,1413,42997,8,1990,1088,27,3,15,15,2,11,4,2,-66680,2,-45410,1,1,1,2,1,NA,3,13,1411,1,1,0,0,13,0,0,NA,NA,5,26,0,NA,NA,NA,NA,2,2,NA,2,NA,2,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","    00030021  6","PH7",3,21,6,3,207861,9,2017,1413,42997,11,1989,1079,27,3,15,15,2,11,4,2,-61350,2,-39682,1,1,1,1,1,NA,2,11,5165,1,7,0,0,11,0,0,NA,NA,3,41,0,NA,NA,NA,NA,2,2,NA,2,NA,2,1,1,1,1,0,0,1,NA,NA,NA,450442,0,0,0,0,1,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"22","    00030021  9","PH7",3,21,9,3,207861,9,2017,1413,42997,5,2000,1205,17,1,15,15,2,11,4,2,-61350,2,-39682,1,1,1,1,1,NA,2,11,0,0,0,0,0,11,0,0,NA,NA,3,18,0,NA,NA,NA,NA,2,2,NA,2,NA,2,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","    00030022  2","PH7",3,22,2,3,207861,9,2017,1413,43002,7,1985,1027,32,4,15,15,3,14,5,3,27029,4,55301,1,1,1,1,1,NA,3,15,2341,1,1,0,0,15,0,0,NA,NA,5,32,0,NA,NA,NA,NA,2,2,NA,2,NA,2,0,0,0,0,0,1,1,NA,NA,NA,150147,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"24","    00040001  2","PH7",4,1,2,4,366148,10,2017,1414,43009,1,1981,973,36,5,15,15,1,5,1,1,-116104,1,-98527,1,1,1,1,1,NA,1,2,6117,1,4,0,0,2,0,0,NA,NA,1,35,0,NA,NA,NA,NA,2,2,NA,2,NA,2,0,0,0,0,0,2,0,NA,NA,NA,264485,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"25","    00040002  2","PH7",4,2,2,4,366148,10,2017,1414,43009,9,1996,1161,21,2,15,15,2,11,3,3,-2394,3,23679,1,1,1,1,1,NA,1,2,6117,1,4,0,0,2,0,0,NA,NA,1,26,0,NA,NA,NA,NA,2,2,NA,2,NA,2,0,1,0,0,0,1,1,NA,NA,NA,264485,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"26","    00040007  4","PH7",4,7,4,4,366148,10,2017,1414,43009,1,1995,1141,22,2,15,15,3,15,5,3,-1730,3,24393,1,1,1,1,1,NA,3,14,0,0,0,0,0,14,0,0,NA,NA,5,24,0,NA,NA,NA,NA,2,1,NA,1,NA,1,0,0,0,0,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","    00040011  2","PH7",4,11,2,4,366148,10,2017,1414,43009,3,1986,1035,31,4,15,15,2,9,3,1,-97889,1,-78952,1,1,1,1,1,NA,1,3,8322,1,8,0,0,3,0,0,NA,NA,1,26,0,NA,NA,NA,NA,2,2,NA,2,NA,2,1,1,1,0,1,0,0,NA,NA,NA,264485,1,0,0,0,0,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"28","    00040012  2","PH7",4,12,2,4,366148,10,2017,1414,43009,6,1984,1014,33,4,15,15,3,15,5,4,68047,4,99383,1,1,1,1,1,NA,2,11,931,1,7,1,NA,11,5414,3,2,NA,3,35,2,1,2,NA,1,2,2,NA,2,NA,2,1,1,0,0,0,3,3,NA,NA,1,264485,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"29","    00040019  2","PH7",4,19,2,4,366148,10,2017,1414,43009,5,1981,977,36,5,15,15,1,4,1,1,-165509,1,-151624,1,1,2,1,1,NA,2,9,6117,1,4,0,0,9,0,0,NA,NA,3,35,0,NA,NA,NA,NA,2,2,NA,2,NA,2,0,0,0,0,0,2,0,NA,NA,NA,264485,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"30","    00040022  1","PH7",4,22,1,4,366148,10,2017,1414,43011,6,1983,1002,34,4,15,15,2,11,4,1,-135020,1,-118857,1,1,1,2,1,NA,1,5,2330,1,1,1,NA,5,2330,1,2,NA,1,47,2,1,2,NA,1,2,2,NA,2,NA,2,0,0,0,0,0,1,1,NA,NA,2,264485,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"31","    00040023  2","PH7",4,23,2,4,366148,10,2017,1414,43010,12,1979,960,37,5,15,15,2,10,3,1,-95219,2,-76081,1,1,1,1,1,NA,2,11,2330,1,1,0,0,11,0,0,NA,NA,3,40,0,NA,NA,NA,NA,2,2,NA,2,NA,2,0,0,1,0,0,0,0,NA,NA,NA,264485,1,0,0,0,0,NA,NA,NA,NA,NA,1,0,0,2,0,0,0,2,1,0,2,0,0,0,0,NA,0,0,0,0,NA,NA,NA,1,0,0,6,0,0,NA,0,0,1,0,NA,1,0,NA,0,NA
"32","    00040024  2","PH7",4,24,2,4,366148,10,2017,1414,43010,3,1985,1023,32,4,15,15,2,11,4,1,-76143,2,-55580,1,1,1,1,1,NA,2,11,6117,1,4,0,0,11,0,0,NA,NA,3,32,0,NA,NA,NA,NA,2,2,NA,2,NA,2,0,0,0,0,0,0,0,NA,NA,NA,264485,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"33","    00040025  2","PH7",4,25,2,4,366148,10,2017,1414,43010,11,1987,1055,29,3,15,15,2,11,4,1,-80900,2,-60693,1,1,1,1,1,NA,2,10,6117,1,4,0,0,10,0,0,NA,NA,3,34,0,NA,NA,NA,NA,2,2,NA,2,NA,2,0,0,0,0,0,0,0,NA,NA,NA,264485,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"34","    00050005  2","PH7",5,5,2,5,191336,10,2017,1414,43018,8,1994,1136,23,2,15,15,1,7,2,1,-90700,2,-71225,1,1,1,1,1,NA,3,12,6226,1,4,0,0,12,0,0,NA,NA,5,22,0,NA,NA,NA,NA,2,2,NA,2,NA,2,0,0,0,0,0,0,0,NA,NA,NA,138211,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"36","    00050011  3","PH7",5,11,3,5,191336,10,2017,1414,43018,7,1977,931,40,6,15,15,1,5,1,1,-88123,2,-68456,1,1,1,1,1,NA,1,3,5249,1,7,0,0,3,0,0,NA,NA,1,40,0,NA,NA,NA,NA,2,2,NA,2,NA,2,0,0,0,0,0,0,0,NA,NA,NA,284319,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"37","    00050012  2","PH7",5,12,2,5,191336,10,2017,1414,43018,8,1979,956,38,5,15,15,2,11,4,1,-109903,1,-91863,1,1,1,1,1,NA,2,11,5414,1,3,1,NA,11,1113,1,2,NA,3,37,2,2,2,NA,1,2,2,NA,2,NA,2,0,0,0,0,0,1,0,NA,NA,2,138211,1,0,0,0,1,NA,NA,NA,NA,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,2
"38","    00050016  2","PH7",5,16,2,5,191336,10,2017,1414,43018,5,1975,905,42,6,15,15,2,11,4,1,-135487,1,-119359,1,1,1,1,1,NA,0,NA,7115,1,8,0,0,0,0,0,NA,NA,0,45,0,NA,NA,NA,NA,2,2,NA,2,NA,2,0,0,0,0,0,0,0,NA,NA,NA,138211,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"39","    00050017  2","PH7",5,17,2,5,191336,10,2017,1414,43017,8,1982,992,35,5,15,15,1,7,2,1,-145683,1,-130317,1,1,2,1,1,NA,1,5,7533,1,8,0,0,5,0,0,NA,NA,1,41,0,NA,NA,NA,NA,2,2,NA,2,NA,2,0,0,0,0,0,2,0,NA,NA,NA,138211,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"40","    00050018  7","PH7",5,18,7,5,191336,10,2017,1414,43017,1,1991,1093,26,3,15,15,2,11,4,1,-95160,2,-76019,1,1,1,1,1,NA,2,11,5414,1,3,0,0,11,0,0,NA,NA,3,26,0,NA,NA,NA,NA,2,2,NA,2,NA,2,0,0,0,0,0,0,0,NA,NA,NA,414632,0,0,0,0,1,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"41","    00050021  2","PH7",5,21,2,5,191336,10,2017,1414,43017,9,1990,1089,27,3,15,15,1,7,2,1,-153112,1,-138301,1,1,1,1,1,NA,1,2,6226,1,4,0,0,2,0,0,NA,NA,1,28,0,NA,NA,NA,NA,2,2,NA,2,NA,2,0,0,0,0,0,1,0,NA,NA,NA,138211,0,0,0,0,1,NA,NA,NA,NA,NA,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"42","    00050022  7","PH7",5,22,7,5,191336,10,2017,1414,43017,5,1975,905,42,6,15,15,2,11,4,2,-20455,3,4269,1,1,1,1,1,NA,1,7,9329,1,9,0,0,7,0,0,NA,NA,1,37,0,NA,NA,NA,NA,2,2,NA,2,NA,2,1,1,0,0,0,0,0,NA,NA,NA,138211,0,0,0,0,1,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"43","    00060002  2","PH7",6,2,2,6,334838,9,2017,1413,43005,7,1992,1111,25,3,15,15,2,8,3,2,-44485,2,-21557,1,1,1,1,1,NA,1,4,6117,1,4,0,0,4,0,0,NA,NA,1,28,0,NA,NA,NA,NA,2,2,NA,2,NA,2,0,0,0,0,0,1,0,NA,NA,NA,241869,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"44","    00060003  2","PH7",6,3,2,6,334838,9,2017,1413,43006,1,2000,1201,17,1,15,15,1,1,1,1,-156739,1,-142199,1,1,1,1,1,NA,1,2,6111,1,4,0,0,2,0,0,NA,NA,1,22,0,NA,NA,NA,NA,2,2,NA,2,NA,2,1,1,0,0,0,1,0,NA,NA,NA,241869,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"45","    00060004  2","PH7",6,4,2,6,334838,9,2017,1413,43005,12,1997,1176,19,1,15,15,1,5,1,1,-177263,1,-164256,1,1,1,1,1,NA,1,3,9312,1,9,0,0,3,0,0,NA,NA,1,26,0,NA,NA,NA,NA,2,2,NA,2,NA,2,0,0,0,0,0,0,0,NA,NA,NA,241869,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"46","    00060005  2","PH7",6,5,2,6,334838,9,2017,1413,43005,3,1999,1191,18,1,15,15,1,5,1,1,-95473,2,-76355,1,1,1,1,1,NA,1,3,6111,1,4,0,0,3,0,0,NA,NA,1,21,0,NA,NA,NA,NA,2,2,NA,2,NA,2,8,0,0,1,0,0,0,NA,NA,NA,241869,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"47","    00060007  2","PH7",6,7,2,6,334838,9,2017,1413,43005,4,1990,1084,27,3,15,15,2,11,4,1,-84313,2,-64361,1,1,1,1,1,NA,2,10,6117,1,4,0,0,10,0,0,NA,NA,3,24,0,NA,NA,NA,NA,2,2,NA,2,NA,2,0,0,0,0,0,1,0,NA,NA,NA,241869,0,0,1,0,1,NA,NA,NA,NA,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"48","    00060009  2","PH7",6,9,2,6,334838,9,2017,1413,43005,12,1995,1152,21,2,15,15,3,13,5,2,-43694,2,-20706,1,1,1,1,1,NA,1,2,9312,1,9,0,0,2,0,0,NA,NA,1,32,0,NA,NA,NA,NA,2,2,NA,2,NA,2,0,0,0,0,0,0,0,NA,NA,NA,241869,0,0,0,0,1,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
